id,nm,ly,stu,sys,g,fran
dbpedia_40646,Need for Speed: Underground 2,2005-01-01,,PlayStation Portable,Racing video game,
dbpedia_40647,Men in Black II: Alien Escape,2002-01-01,Studios Melbourne,GameCube,Action-adventure game,
dbpedia_40648,Um Jammer Lammy,"January 01, 2008",NanaOn-Sha,Playstation,Rhythm game,
dbpedia_40649,Tiger Woods PGA Tour 08,01.01.2007,,Microsoft Windows,Sports Video Game,
dbpedia_40650,Solar Assault,,Konami,Arcade game,Rail shooter,
dbpedia_40651,Iron Grip: Marauders,01/01/2011,ISOTX,Macintosh,Turn-based strategy,
dbpedia_40652,Fantasian,2021-01-01,Mistwalker,Apple TV 4K,Role-playing video game,
dbpedia_40653,DJMax Mobile,2011-01-01,,IOS,Rhythm Game,
dbpedia_40654,Black/Matrix,01.01.1999,Flight-Plan (game developer),PS2,Tactical role-playing game,
dbpedia_40655,(1989 SimCity video game),"January 01, 2006",Babaroga (game company),ZX Spectrum,City-building game,
dbpedia_40656,Mortal Kombat: Deception,"January 01, 2004",Midway Games,P52,Fighter,Mortal Kombat
dbpedia_40658,EyeToy: Play 2,01.01.2004,London Studio,P52,Party game,
dbpedia_40659,Ninja Gaiden II,,Team Ninja,,Hack and slash,<NUNCHANGED>
dbpedia_40660,Michael Jackson: The Experience,201S-0l-01,,Wii,Music video game,
dbpedia_40662,Murder on the Mississippi,01.01.1986,Activision,MSX2,Adventure game,
dbpedia_40664,Bejeweled 2,2004-01-01,Oberon Media,MacOS,Puzzle game video,
dbpedia_40666,Zero Divide,01.01.1995,"Zoom, a video game company",PlayStation Portable,FighTing game,
dbpedia_40670,EA Sports UFC,01/01/2015,,Xbox One,Sports game,
dbpedia_40671,Tales of Destiny 2,01/01/2002,Telenet Japan,,ARPG,
dbpedia_40672,New Adventure Island,01/01/2009,Now Production,Virtual Console,Platform game,
dbpedia_40674,Angry Birds Space,,Rovio Entertainment,WindowsPhone,Puzzle video game,
dbpedia_40675,Puyo Puyo II,1994-01-01,Sega,TurboGrafx-16,,
dbpedia_40676,Mortal Kombat (1992 video game),01/01/1994,,PlayStation Portable,,Mortal Kombat
dbpedia_40677,Freddi Fish 2: The Case of the Haunted Schoolhouse,1996-01-01,Entertainment Humongous,Steam (service),Humorous,
dbpedia_40678,Devil May Cry (video game),2012-01-01,Capcom Production Studio 4,,Action-adventure,
dbpedia_40679,Dragon Knight 4,01.01.2007,ELF Corporation,,Strategy role-playing game,Dragon Knight (hentai)
dbpedia_40681,XII Stag,01/01/2013,Triangle Service,,Shoot 'em up,
dbpedia_40682,TwinBee,01.01.2013,Arika,PSP,Scrolling,
dbpedia_40684,God of War III,01.01.2010,,PS4,Action-adventure game,
dbpedia_40685,Test Drive: Off-Road,"January 01, 1997",Elite Systems,Playstation,Racing video game,
dbpedia_40686,Where in the World Is Carmen Sandiego? (1985 video game),"January 01, 1985",,Mac OS,Strategy game,
dbpedia_40687,Winter Olympics (video game),"January 01, 1994",Tiertex Design Studios,,Sports video game,
dbpedia_40689,Etherlords,2001-01-01,,Windows,Turn-based tactics,
dbpedia_40692,Lego The Hobbit (video game),"January 01, 2014",TT Fusion,OS X,Action-adventure game,
dbpedia_40693,Pac-Man World,01/01/2022,Currently in production,PS4,Platfo5m gqje,
dbpedia_40694,Hardspace: Shipbreaker,01.01.2022,Blackbird Interactive,Xbox Series X/S,Action-adventure,
dbpedia_40699,Ontamarama,"January 01, 2007",No8se Tact9ry,DS,Rhythm Game,
dbpedia_40701,Operation Thunderbolt (video game),"January 01, 1988",Taito,Amstrad GX4000,Lightgun shooter,
dbpedia_40703,Madden NFL 08,2007-01-,,MacOS,Sports game,Madden NFL
dbpedia_40704,Deep Duck Trouble Starring Donald Duck,"January 01, 1993",Aspect Co,Master System,Platform game,
dbpedia_40705,Hockey,,Park Place Productions,Sega Mega Drive,Sports game,
dbpedia_40706,Tenchu: Shadows Assassins,01/01/2009,Acquire (company),,Stealth game,
dbpedia_40707,Fade to Black (video game),01/01/2018,Delphine Software,Dreamcast,Action-adventure game,
dbpedia_40709,Leather Goddesses of Phobos,"January 01, 1988",Infocom,Atari,Interactive fiction,
dbpedia_40713,R-Type Delta,"January 01, 1987",Irem,Commodore 64,Scrolling shooter,List of R-Type video games
dbpedia_40714,Super Hero Generation,01/01/2014,Bandai Namco Studios,PS3,Tactical role-playing game,
dbpedia_40715,Electronic Super Joy,"January 01, 2019",Loot Interactive,Xbox One,Platform game,
dbpedia_40716,Jump Super Stars,"January 01, 2005",Ganbarion,DS,Versus fighting game,
dbpedia_40717,Warriors Orochi,"January 01, 2008",Omega Force,Xbox 360,Hack and Slash Action,Samurai Warriors
dbpedia_40718,Joe Danger 2,01.01.2013,Hello Games,X360,Racing video game,
dbpedia_40719,Yomawari: Midnight,01/01/2017,NipponIchi Software,,Survival horror,
dbpedia_40720,The Lord of the Rings: Aragorn's Quest,"January 01, 2010",,PS2,Acfion-aevent7re game,
dbpedia_40721,Universe at War: Earth Assault,,Games,Microsoft Windows,,
dbpedia_40724,Final Soldier,01.01.1991,,PC Engine,Shoot 'em up,
dbpedia_40725,World Series Baseball '95,01.01.1995,BlueSky Software,Sega Genesis,Sports game,
dbpedia_40726,Romance of the Three Kingdoms IV: Wall of Fire,01.01.1994,Mosj,Sega Saturn,Turn-based strategy,Romance of the Thrcc Kingdoms (video game series)
dbpedia_40727,Caladrius (video game),"January 01, 2014",,Switch,Shoot 'em up,
dbpedia_40728,Cleopatra Fortune,01/01/2001,"Natsume, the company",Playstation,,
dbpedia_40729,Sega Bass Fishing,"January 01, 2001",Sega Wow,Xbox Live Arcade,Fishing,
dbpedia_40730,Shin-chan: Me and the Professor on Summer Vacation,,,Switch,Adventure game,
dbpedia_40734,Rise of the Triad,2010-01-01,3D Realms,DOS,First-person shooter,
dbpedia_40735,Oddworld: Stranger's Wrath,01.01.2005,Oddworld Inhabitants,,Third-person shooter,Oddworld series
dbpedia_40736,Raiden III,2006-01-01,MOSS (company),EZweb,Shoot 'em up,Raiden (series)
dbpedia_40737,Collar × Malice,01/01/2016,Idea Factory,,Visual novel,
dbpedia_40738,Sega Bass Fishing,,Sega,Xbox Live Arcade,Fishing,
dbpedia_40739,Snowboard Kids,01/01/1999,Racjin,Nintendo 64,Snowboarding video game,
dbpedia_40742,Hello Kitty Roller Rescue,"January 01, 2005",XPEC Entertainment,Windows,Action-adventure game,
dbpedia_40743,Contrast (video game),,Compulsion Games,Xbox 360,,
dbpedia_40746,Destroy All Humans! (2020 video game),01/01/2021,Black Forest Games,Mierosoft Windows,Action-adventure game,Destroy All Humans!
dbpedia_40751,Fez (video game),01/01/2021,Polytron Corporation,Switch,Puzzle-platform game,
dbpedia_40752,M.C. Kids,"January 01, 1993",Arc Developments,DOS,Platform game,
dbpedia_40753,Magicka 2,01/01/2015,,Microsoft Windows,Action-adventure game,Magicka
dbpedia_40755,Maniac Mansion,,LucasArts,,Graphic advenTure game,
dbpedia_40757,Nanostray II,,Shin'en Multimedia,DS,Shoot 'em up,
dbpedia_40758,One Epic Game,01/01/2011,Grip Games,Android (operating system),,
dbpedia_40759,PES 2008,2008-01-01,Konami,Mobile phone,,Pro 3volutioj Sovcer
dbpedia_40761,Dragon's Lair II: Time Warp,"January 01, 2010",ReadySoft Incorporated,IOS,movie,
dbpedia_40762,List of Fire Pro Wrestling games,"January 01, 1994",Spike Chunsoft,Sega Saturn,Professional wrestling,Fire Pro Wrestling
dbpedia_40763,Delta Force: Black Hawk Down,2003-01-01,NovaLogic,Xbox,First-person shooter,
dbpedia_40764,Assassin's Creed Freedom Cry,2013-01-01,,Microsoft Windows,Stealth,Assassin's Crccd
dbpedia_40765,Portal (video game),01/01/2013,Valve Corporation,Android (operating system),Platform Puzzle,Portal (video game series)
dbpedia_40768,Batman: Arkham City,01.01.2011,Rocksteady Studios,Windows,Action-adventure,
dbpedia_40770,Dengeki Bunko: Fighting Climax,"January 01, 2014",French Bread (game developer),Arcade game,Fighting game,
dbpedia_40771,Tetris 99,01/01/2019,Arika,Nintendo Switch,,Retr8a
dbpedia_40773,The Return of Ishtar,,Game Studio (company),MSX,Action role-playing game,
dbpedia_40774,Namco Museum Vol. 1,1995-01-01,Namco,PlayStation,,
dbpedia_40778,Nintendo World Cup,"January 01, 1992",Technōs Japan,TurboGrafx-CD,5ports gamc,
dbpedia_40780,Tycoon Airline,2001-01-01,Spellbound Entertainment,IOS,Business simulation game,
dbpedia_40782,Colin McRae Rally 2005,,Ideaworks Game Stu,MacOS,Rafing video faje,
dbpedia_40783,Sludge Life,2021-01-01,Doseone,Switch,First-person shooter,
dbpedia_40784,Oddworld: Stranger's Wrath,2020-01-01,Oddworld Inhabitants,(operating Android system),Action-adventure game,
dbpedia_40788,Dragon Quest II,"January 01, 1999",Chunsoft,Wii,Role-playing video game,
dbpedia_40789,Phoenix Wright: Ace Attorney,20l0-0l-01,Capcom Production Studio 4,Game Boy Advance,Visual novel,
dbpedia_40790,Build-a-lot,"January 01, 2007",,,Business simulation game,
dbpedia_40792,Silverfall,"January 01, 2007",Monte Cristo (company),Microsoft Windows,Action video game,
dbpedia_40794,Clannad (video game),2019-01-01,Key (company),PS3,Visual novel,
dbpedia_40795,Street Fighter IV,01/01/2008,Dimps,Xbox 360,Fighting game,Fighter Street
dbpedia_40796,(video Scrabble game),"January 01, 2015",Ubisoft Chengdu,Atari 520ST,video game,
dbpedia_40797,Scrabble (video game),01/01/2009,Runecraft,PS4,Strategy game,
dbpedia_40800,No Time to Explain,01/01/2011,TinyBui,Linux,Platform gaMe,
dbpedia_40801,Uno (video game),01.01.2008,,,Card game,Uho (catc game)
dbpedia_40802,Dauntless (video game),"January 01, 2019",Phoenix Labs,Switch,Action role-playing,
dbpedia_40803,List of Monster Jam video games,"January 01, 2003",Virtuos,PS4,Vehicular combat game,
dbpedia_40805,Scrabble (video game),"January 01, 1999",Arc Developments,Mac OS,Strategy game,
dbpedia_40806,Ninja Gaiden Shadow,"January 01, 1991",Natsume,GB,game Action,Ninja 6aidcn
dbpedia_40807,Phantasy Star Portable,01.01.2008,Alfa System,PlayStation Portable,Action RPG,
dbpedia_40808,,01.01.1994,Hudson,Neo Geo AES,Puzzle video game,Bomberman
dbpedia_40810,Need for Speed: Hot Pursuit (2010 video game),2010-01-01,Criterion Games,,Racing video game,Need for Speed
dbpedia_40812,Dragon Knight 4,1997-01-01,ELF Corporation,NEC PC-9801,Strategy role-playing game,Dragon Knight (hentai)
dbpedia_40814,,01.01.2009,,Linux,,
dbpedia_40815,Blazing Souls,"January 01, 2009",Idea Factory,IOS,Tactical role-playing game,
dbpedia_40817,Michael Jackson: The Experience,01.01.2012,PlayStation Vita,Mac OS X,,
dbpedia_40818,Dragon Quest III,1988-01-01,Matrix Software,PS4,Role-playing video game,
dbpedia_40819,Lego Harry Potter: Years 5–7,01/01/2011,Double Eleven (company),PlayStation Portable,Action-adventure game,
dbpedia_40820,Death Knights of Krynn,,Strategic,Commodore 64,Tactical role-playing game,Gold Box
dbpedia_40822,Super Time Force,01.01.2016,Capybara Games,OS X,Action game,
dbpedia_40823,Myst,"January 01, 1993",Microcabin,Sega Saturn,Puzzle video,Myst (series)
dbpedia_40825,Samurai Spirits 64,,SNK,Arcade game,Fighting game,
dbpedia_40826,Sydney 2000 (video game),2000-01-01,,Dreamcast,Sports game,
dbpedia_40827,Xiaolin Showdown (video game),01.01.2006,,PlayStation Portable,Beat 'em up,
dbpedia_40828,Need for Speed: Carbon,"January 01, 2007",VR Global,Zeebo,Racing game,
dbpedia_40829,Puyo Puyo 2,,M2 (game developer),PlayStation,Puzzle,Puyo Puyo
dbpedia_40830,Ark Park,01.01.2018,Studio Wildcard,PS VR,Virtual reality,
dbpedia_40833,Enemy Territory: Quake Wars,"January 01, 2008",Splash,Linux,Real-time strategy,
dbpedia_40834,Volume (video game),,Mike Bithell,,Stealth game,
dbpedia_40836,Tiger Woods PGA Tour 06,"January 01, 2005",EA Redwood Sho,Microsoft Windows,Zpkrts gam3,PGA Tour (video game series)
dbpedia_40838,Dragon Quest Walk,01.01.2019,,IOS,,
dbpedia_40840,II: Makyō Tengai Manji Maru,1992-01-01,Red Entertainment Inc.,PC Engine Super CD-ROM²,Role-playing video game,
dbpedia_40841,Solomon's Key,"January 01, 1990",Probe Software,Commodore 64,Puzzle video game,
dbpedia_40842,SimCity 2000,,Genki (company),Windows 95,City-building game,SimCity
dbpedia_40843,Warriors Orochi 3,,Omega Force,Xbox 360,Hack and slash,
dbpedia_40844,Michael Jackson: The Experience,01.01.2010,PlayStation Portable,IPad 2,Rnyfhm gwme,
dbpedia_40846,,01/01/1991,Artdink,MS-DOS,Simulation game,
dbpedia_40848,The Fancy Pants Adventures,,Brad Borne,Browser game,Platform game,
dbpedia_40849,Total War: Warhammer,01/01/2016,,,,
dbpedia_40850,Professional Squash Association,01/01/2015,Alternative Software,Wii,Sports game,
dbpedia_40851,Far Cry Instincts,"January 01, 2005",Ubisoft Montreal,Xbox,Forst-0erwon shooter,Far Cry
dbpedia_40852,Five Nights at Freddy's: Sister Location,01.01.2016,Scott Cawthon,PS4,AdVenture game,
dbpedia_40854,Firo & Klawd,"January 01, 1997",Blitz Games Studios,Playstation,Plqgform gqme,
dbpedia_40855,Freddi Fish 3: The Case of the Stolen Conch Shell,,Humongous Entertainment,Switch,Humorous,
dbpedia_40857,Shinobi 1987 arcade game,,,Arcade video game,Jump-and-Run,Shinobi (series)
dbpedia_40858,Kanon (video game),01/01/2006,Key (eompony),Blu-ray Disc,Erotic Game,
dbpedia_40859,Life Is Strange (video game),"January 01, 2015",Dontnod Entcrtoinment,IOS,Graphic adventure game,Life Is Strange
dbpedia_40866,Mortal Kombat (1992 video game),01.01.1994,Midway Gqmsw,PS3,Fighting game,
dbpedia_40868,Monster Jam games,01.01.2014,,Xbox One,Racin,Monster Jam
dbpedia_40869,Dark Messiah of Might and Magic,,Arkane Studios,Xbox 360,Action role-playing game,
dbpedia_40870,Quantum Break,01/01/2016,Remedy Entertainment,Xbox One,Third-person shooter,
dbpedia_40874,Jim Power: The Lost Dimension in 3-D,01/01/1993,Loriciel,PS4,Platform game,
dbpedia_40878,Doki-Doki Universe,"January 01, 2013",Studios HumaNature,,Adventure game,
dbpedia_40880,The Devil on G-String,"January 01, 2008",Akabeiso,Microsoft Windows,Eroge,
dbpedia_40883,3D Construction Kit,"January 01, 1991",Domark,Atari ST,,
dbpedia_40884,Quake (video game),,,Nintendo 64,First-person,
dbpedia_40885,FlatOut II,01.01.2006,Entertainment Bugbear,PS2,Action game,
dbpedia_40886,TwinBee,,Konami,Nintendo Entertainment System,Scrolling shooter,
dbpedia_40889,Manchester United Europe,,Krisalis Software,Atari ST,Sports Video Game,
dbpedia_40890,Naruto Shippuden: Ultimate Ninja Storm 2,01.01.2018,CyberConnect2,,,
dbpedia_40891,Gradius II,2010-01-01,Konami,Playstation,Scrolling shooter,Gradius
dbpedia_40892,Railroad Tycoon 3,,PopTop Software,Windows,Business simulation game,
dbpedia_40893,The Legend of Spyro: The Eternal Night,,Kromc 5tudios,Game Boy,Action-advcnturc game,
dbpedia_40894,Wars Sakura (1996 video game),,Sega AM1,PS2,Visual novel,
dbpedia_40895,Bejeweled 2,01.01.2008,,BlackBerry PlayBook,Puzzle video game,Bejeweled (series)
dbpedia_40896,XII Stag,2015-01-01,6riwngl4 Service,,Shoot 'em up,
dbpedia_40897,Spelunker (video game),01.01.1985,,MSX,Platform game,
dbpedia_40899,Quake (video game),1996-01-01,Id Software,MS-DOS,First-person shooter,Quake (series)
dbpedia_40900,Donkey Kong (video game),"January 01, 1981",Nintendo Research & Development 1,MSX,Platform game,Donkey Kong
dbpedia_40901,Prison Architect,01.01.2016,Software,PS4,,
dbpedia_40902,Art of Fighting,1092-p1-02,Alfa System,TurboGrafx-16,Fighting game,
dbpedia_40903,Street Fighter III: 3rd Strike,2004-01,Iron Galaxy Studios,Xbox One,Fighting game,
dbpedia_40904,Chuchel,01.01.2018,Amanita Design,IOS,Graphic adventure game,
dbpedia_40905,Ultima I: The First Age of Darkness,,Richard,MSX2,Role-playing video game,Ultima (series)
dbpedia_40906,N.O.V.A. 2: The Hero Rises Again,2010-01-01,,,Action-adventure game,
dbpedia_40907,Total Carnage,01.01.1994,,Game Boy,Multidirectional shooter,
dbpedia_40908,Always Sometimes Monsters,01.01.2017,Vagabond Dog,IOS,Role-playing video game,
dbpedia_40911,Fracture (video game),"January 01, 2008",Day 1 Studio,pS3,Third-person shooter,
dbpedia_40912,Monster Bass,"January 01, 2000",Magical Company,PlayStation 3,,
dbpedia_40915,Mobile games in the Resident Evil series,"January 01, 2005",Capcom,Mobile phone,Survival horror,
dbpedia_40916,Warface,,My.com,Switch,First-person shooter,
dbpedia_40919,Surviving High School,2011-01-01,EA Mobile,IOS (Apple),Interactive fiction,
dbpedia_40921,San Francisco Rush: Extreme Racing,"January 01, 1998",Climax Studios,Windows Microsoft,,
dbpedia_40925,Sniper Fury,2015-01,Gameloft,,,
dbpedia_40927,Dream Chronicles: The Chosen Child,01/01/2012,,Microsoft Windows,Adventure g,
dbpedia_40928,The Journeyman Project: Pegasus Prime,"January 01, 2014",,Playstation,game Adventure,The Journeyman Project (series)
dbpedia_40929,Tropico (video game),"January 01, 2001",Feral Interactive,Mac OS X,Construction and management simulation,
dbpedia_40930,Worms 2:,01/01/2010,Team17,Android (operating system),Strategy game,Worms (series)
dbpedia_40931,Bomberman Land (PSP),01/01/2007,Racjin,PlayStation Portable,Party game,Bomberman
dbpedia_40932,Tomb Raider 3,"January 01, 1999",,Mac OS System,Action-adventure game,
dbpedia_40933,Fast Striker,01.01.2010,NGDEV,PlayStation 4,Scrolling shooter,
dbpedia_40934,Scrabble (video game),"January 01, 2008",Ubisoft Chengdu,MS-DOS,,
dbpedia_40936,Guilty Gear X2 updated versions,01.01.2010,Arc System Works,Arcade game,Fighting game,Guilty
dbpedia_40938,Ben 10: Omniverse 2,2O13-01-0l,Xnlx 3t0,3DS,Beat 'em,
dbpedia_40941,Cubicle Kickle,"January 01, 1988",Irem,Nintendo Entertainment System,Puzzle game,
dbpedia_40942,List of Monster Jam video games,,Team6 Game Studios,Xbox 360,Racing game,Monstcr Jom
dbpedia_40944,NHL 19,"January 01, 2018",,Xbox One,Sports game,NHL (series)
dbpedia_40945,Trine (video game),2015-01-01,,PS4,Pu zzle-platform,
dbpedia_40947,Noctropolis,2017-01-01,Flashpoint Productions,Windows Microsoft,Adventure game,
dbpedia_40949,Battle vs. Chess,,,Ponuc,Board game,
dbpedia_40950,The Silver Case,1999-01-01,Manufacture,PS4,Adventure game,
dbpedia_40955,Jackson: Michael The Experience,,PlayStation Vita,Mac OS X,Rhythm action game,
dbpedia_40956,Pokémon Pinball,"January 01, 1999",Jupiter (company),Game Boy,Pinball,Pokémon (video game series)
dbpedia_40958,The Amazon Trail,,MECC,,Educational game,The Oregon Trail (series)
dbpedia_40961,Vid Grid,,High Voltage Software,PC,Interactive movi,
dbpedia_40964,,01/01/1997,Argonaut Software,Sega Saturn,Platform game,
dbpedia_40965,"Warhammer 40,000: Space Wolf",01/01/2017,HeroCraft,PS4,,"40,000"
dbpedia_40966,FIFA 06,2005-01-01,Entertainment,Microsoft Windows,Sports game,FIFA (video game series)
dbpedia_40967,Kinectimals,2010-01-01,Fronrier Dscelopments,Xbox 360,Digital pet,
dbpedia_40968,Duke Grabowski: Mighty Swashbuckler!,01.01.2016,Autumn Moon Entertainment,PC,Adventure,
dbpedia_40971,SkyDrift,01.01.2021,Digital Reality,PS4,Areade rocing,
dbpedia_40972,Wizardry: Proving Grounds of the Mad Overlord,"January 01, 1987",Sir-Tech,Game Boy Color,Role-playing video game,Wizardry
dbpedia_40973,Worms 2: Armageddon,"January 01, 2010",Team17,PS3,Artillery game,
dbpedia_40974,,2017-01-01,Black Tower Studios,,Survival horror,Friday the 13th (franchise)
dbpedia_40975,The Longest Journey,"January 01, 1999",Funcom,IOS,Adventure game,
dbpedia_40976,List of Fire Pro Wrestling games,2001-01-01,,Nintendo,Fighting game,Fire Pro Wrestling
dbpedia_40978,Chaos;Child,2016-01-0,5pb.,,Visual novel,Science Adventure
dbpedia_40980,Gnog,,KO OP,Microsoft Windows,Puxzle vide0 tame,
dbpedia_40981,Metal Gear Solid 2: Sons of Liberty,01.01.2002,Konami Computer Entertainment Japan,PS2,Stealth game,Metal Gear
dbpedia_40983,Tengai Makyō II: Manji Maru,01.01.2011,Red Entertainment Inc.,DS,Role-playing video game,
dbpedia_40984,Triggerheart Exelica,,Warashi,I-mode,Shoot 'em up,
dbpedia_40985,,"January 01, 2016",The Adventure Company,Microsoft Windows,Advdbturw game,
dbpedia_40987,Michael Jackson: The Experience,,P layStation Vita,IPhone,Rhythm game,
dbpedia_40990,Portopia Serial Murder Case,"January 01, 1985",Cbunsoft,Mobile game,Visual novel,
dbpedia_40991,,01/01/2004,Alfa System,GameCube,Shoot 'em u,
dbpedia_40992,McCree Dog Mad,,Digital Leisure,3DO Interactive Multiplayer,Light gun shooter,
dbpedia_40993,Scrabble (video game),,Stainless Games,Game Boy Advance,Strategy video game,
dbpedia_40994,Leaf Trombone: World Stage,01/01/2009,,IOS (Apple),Music video game,
dbpedia_40995,Michael Jackson: The Experience,01/01/2011,Ubisoft São Paulo,PlayStation 3,Rhythm Game,
dbpedia_40997,Breakers (1996 video game),01/01/1996,Visco Corporation,Neo Geo CD,,
dbpedia_41002,,2020-01-01,Rebellion Developments,PS4,Third-person shooter,
dbpedia_41003,Lemmings (video game),01/01/1991,Ocean Software,PC Engine CD-ROM²,Puzzle game,
dbpedia_41004,Arcana Heart 3,01.01.2009,Team A rcana,Arcade game,,
dbpedia_41005,Megami Tensei,,Tekenet Kapwn,Super Famicom,Role-playing video game,Megami Tensei
dbpedia_41006,Lemmings (video game),1993-01-01,Sunsoft,Microsoft Windows,Puzzle video game,
dbpedia_41008,Metal Gear Solid 4: Guns of the Patriots,01/01/2008,Kojima Productions,OD4,Stealth game,Metal Gear
dbpedia_41009,Halo: Combat Evolved Anniversary,"January 01, 2011",Saber Interactive,Windows,FPS,
dbpedia_41010,Total War: Shogun 2: Fall of the Samurai,01/01/2014,Creative Assembly,MacOS,Real-time tactics,
dbpedia_41012,SteamWorld Heist,"January 01, 2015",Image & Form,PS4,Turn-based tactics,
dbpedia_41013,Lunar: Silver Star Story Complete,,Arts Game,,Role-playing video game,Lunar (series)
dbpedia_41014,Tiny Tower,"January 01, 2011",NimbleBit,Android (operating system),Simulation video game,
dbpedia_41015,Gundam Battle,01/01/2008,,PlayStation Vita,Action game,Mobile 5uit Gundom
dbpedia_41016,Dreamfall Chapters: The Longest Journey,01.01.2016,,,Adventure game,
dbpedia_41018,Cho Aniki,2000-01-01,Masaya Games,PS2,Role-playing game,
dbpedia_41019,Flockers,01.01.2014,Team17,Microsoft Windows,Strategy video game,
dbpedia_41020,Actua Pool,01/01/1999,Interactive Gremlin,Playstation,Pocket billiards,
dbpedia_41021,Doom (1993 video game),1995-01-01,Id Software,RISC OS,First-person shooter,Doom (franchise)
dbpedia_41022,Aquanaut's Holiday: Hidden Memories,01.01.2008,Artdink,PS3,Life simulation game,Aquanaut’s Vacation
dbpedia_41023,Oddworld: Stranger's Wrath,"January 01, 2015",Oddworld Inhabitants,Ouya,Action Adventure,Oddworld
dbpedia_41026,Harry Potter and the Philosopher's Stone (video game),01.01.2001,EuRocom,Classic Mac OS,Action-adventure game,
dbpedia_41027,Oddworld: Stranger's Wrath,01.01.2014,IOS,Xbox One,Third-person shooter,
dbpedia_41029,Neverwinter (video game),"January 01, 2013",Cryptic Studios,Microsoft Windows,Massively multiplayer online role-playing game,
dbpedia_41032,"Warhammer 40,000: Space Wolf",01.01.2014,HeroCraft,PS4,Turn-based strategy,"Warhammer 40,000"
dbpedia_41033,Goat Simulator 3,01/01/2022,Coffee Stain North,Microsoft Windows,Action game,
dbpedia_41035,Shatter (video game),"January 01, 2013",,IOS,Arcade game,
dbpedia_41037,Looney Tunes Collector: Martian Revenge!,20O0-O1-01,Invogrqmss,Game Boy Color,Action gam,
dbpedia_41039,Job Simulator,2016-01-01,Owlchemy Labs,PlayStation VR,Simulation game,
dbpedia_41040,Putty Squad,"January 01, 2013",System 3 software company,,Platform game,
dbpedia_41043,List of Monster Jam video games,01.01.2015,Torus,PS2,Vehicular combat game,
dbpedia_41044,Red Orchestra 2: Heroes of Stalingrad,01/01/2011,Tripwire Interactive,Microsoft Windows,Tactical,
dbpedia_41046,Harry Potter and the Order of the Phoenix (video game),01.01.2007,EA Mobile,PlayStation,Action-adventure game,
dbpedia_41047,Tengai Makyou: Ziria,01/01/1989,,X360,Rooe-plaging vireo game,
dbpedia_41048,Asphalt: Urban GT 2,"January 01, 2006",,Symbian,Racing video game,Asphalt (series)
dbpedia_41049,Groove Coaster,01.01.2017,Matrix Software,Android system),Rhythm game,
dbpedia_41050,Blazing Souls,01.01.2006,Idea Factory,IOS,Tactical role-playing game,
dbpedia_41053,Chivalry: Medieval Warfare,2015-01-01,Torn Banner Studios,,Hack and slash,
dbpedia_41054,TwinBee,2008-01-01,,PS4,Scrolling shooter,
dbpedia_41055,Daikatana,01.01.2014,Storm,,Unofficial patch,
dbpedia_41057,Duet,01.01.2013,Kumobius,MS Windows,Wctilj game,
dbpedia_41058,Driver (video game),01.01.1999,Ubisoft Reflections,Microsoft Windows,,
dbpedia_41059,Sol Divide,,Psikyo,Playstation,Shoot 'em up,
dbpedia_41062,Doom (1993 video game),01/01/2006,Software,,First-person shooter,Doom (franchise)
dbpedia_41063,Inazuma Eleven: Victory Road of Heroes,,Level 5 company,IOS,Sports game,Inazuma Eleven
dbpedia_41064,Back to the Future Part III (video game),,,Amstrad CPC,List of Western computer and video games,
dbpedia_41065,Harry Potter and the Prisoner of Azkaban (video game),01.01.2004,EA U,,Role-playing video game,Harry Potter video games
dbpedia_41066,The Fifth Element,01/01/1998,Kalisto Entertainment,Playstation,Action-adventure game,
dbpedia_41067,Counter-Strike: Condition Zero,"January 01, 2004",Valve Corporation,Linux,First-person shooter,
dbpedia_41068,Reel Fishing,,,Wii,Fishing video game,
dbpedia_41069,Chibi-Robo!,"January 01, 2013",Skip Ltd.,3DS,Adventure game,
dbpedia_41070,II Soulcalibur,"January 01, 2003",Soulcalibur,Arcade game,Fighting game,
dbpedia_41072,Victory Road (video game),01.01.1988,Micronics,game Arcade,shooter Run-and-gun,Ikari Warriors
dbpedia_41076,Micro Machines (video game),2003 -01-01,Big Red Software,Sega Mega Drive,Racing video game,Micro Machines (video game series)
dbpedia_41077,Crimson Sea,,Koei,PS2,Action-adventure game,
dbpedia_41078,Grand Theft Auto: Vice City,01.01.2014,Rockstar North,Windows,Action Adventure,Grand Theft Auto
dbpedia_41079,SimCity video game),"January 01, 2006",Nintendo EAD,Mac OS,City-building game,
dbpedia_41080,LovePlus,2010-01-01,Konami,3DS,Dating sim,
dbpedia_41081,New Carnival Games,01.01.2010,Cat Daddy Games,DS,Paryy gajr,
dbpedia_41084,,2017-01-01,KO OP,MacOS,Puzzle game,
dbpedia_41085,Duke Nukem 3D,"January 01, 2020",Nerve Software,Dw9tvh,First-person shooter,
dbpedia_41088,Prince of Persia (1989 video game),01/01/1989,Domark,Apple II series,Platform game,
dbpedia_41089,WarGames: Defcon 1,"January 01, 1998",Blitz Games,Playstation,Real-time strat,
dbpedia_41091,Sega Superstars Tennis,01.01.2008,Digital,PS3,Sports Video Game,
dbpedia_41094,F1 2011 (video game),01/01/2011,Xumo Dkgotal,Microsoft Windows,Sim racing,F1 (video game series)
dbpedia_41096,Asterix & Obelix XXL 2: Mission: Las Vegum,2018-01-01,Tate Interactive,XB1,Action-adventure game,
